,Date,Government Agency,Fund,Contractor,Procurement Method,Jamaican Equivalent,Funding Agency
1101,2011-11-09,National Health Fund,NHF,UNI-MED HEALTH CARE LIMITED,OT,13130656.75,Non-GOJ Funding
1102,2011-11-09,National Health Fund,NHF,CARI-MED LIMITED,OT,12078178.38,Non-GOJ Funding
1103,2011-11-09,National Health Fund,NHF,MED DISP/MORNINGSIDE,OT,11080148.3,Non-GOJ Funding
1104,2011-11-09,Ministry of Health,GOJ,ABBOTT LABORATORIES,DC,17066527.41,GOJ Funding
1105,2011-11-09,Ministry of Health,GOJ,AREL LIMITED,DC,4342830.0,GOJ Funding
1106,2011-11-09,"Passport, Immigration & Citizenship Agency (PICA)",GOJ,"CANADIAN BANK NOTE COMPANY, LIMITED",DC,115664400.0,GOJ Funding
1107,2011-11-09,Post and Telecommunications Department,PTD,SIBRON COMPANY LIMITED,ST,11806757.95,Non-GOJ Funding
1108,2011-11-09,Jamaica Social Investment Fund,IADB,BACCHUS ENGINEERING WORKS LIMITED,ST,39149500.0,Non-GOJ Funding
1109,2011-11-09,Jamaica Social Investment Fund,CDB,MARSHALL CONSTRUCTION COMPANY LIMITED,ST,18006969.0,Non-GOJ Funding
1110,2011-11-09,Jamaica Social Investment Fund,CDB,SHARE CON LIMITED,ST,29720960.0,Non-GOJ Funding
1111,2011-11-09,Petrojam Limited,PCJ,CHAMPION INDUSTRIAL EQUIPMENT & SUPPLIES LIMITED,DC,11706012.71,Non-GOJ Funding
1112,2011-11-09,Ministry of National Security,GOJ,ST,LT,12086280.0,GOJ Funding
1113,2011-11-09,Petrojam Limited,PCJ,ALLIED PROTECTION LIMITED,ST,9426378.17,Non-GOJ Funding
1114,2011-11-09,National Housing Trust,NHT,FCS CONSULTANTS LIMITED,DC,24247300.0,Non-GOJ Funding
1115,2011-11-02,Urban Development Corporation (UDC),UDC,MEDIA NET LIMITED,ST,11163162.83,Non-GOJ Funding
1116,2011-11-02,Jamaica Social Investment Fund,GOJ/ CDB,BACCHUS ENGINEERING WORKS LIMITED,ST,15000000.0,Non-GOJ Funding
1117,2011-11-02,National Solid Waste Management Authority (NSWMA),GOJ,KEMSHA LIMITED,DC,7326400.0,GOJ Funding
1118,2011-11-02,National Solid Waste Management Authority (NSWMA),GOJ,ALCAR CONSTRUCTION & HAULAGE CO. LTD.,DC,2922000.0,GOJ Funding
1119,2011-11-02,Edna Manley School of the Visual and Performing Arts,GOJ,AEORION SOFTWARE,DC,4332000.0,GOJ Funding
1120,2011-11-02,Petrojam Limited,PCJ,JH DUNSTAN AND ASSOCIATES LIMITED,ST,74676252.73,Non-GOJ Funding
1121,2011-11-02,Development Bank of Jamaica,DBJ,DELOITTE TOUCHE TOHMATSU,LT,22142056.3,Non-GOJ Funding
1122,2011-11-02,Petrojam Limited,PCJ,QUALITY PLUS CONTRACTING COMPANY LIMITED,ST,21548654.3,Non-GOJ Funding
1123,2011-11-02,Petrojam Limited,PCJ,CLEAVER BROOKS BOILERS/NATCOM,DC,6695539.2,Non-GOJ Funding
1124,2011-11-02,Petrojam Limited,PCJ,QUALITY PLUS CONTRACTING COMPANY LIMITED,DC,3787082.0,Non-GOJ Funding
1125,2011-11-02,Ministry of Health,GOJ,CAC 2000 LIMITED,DC,6229399.5,GOJ Funding
1126,2011-11-02,National Solid Waste Management Authority (NSWMA),GOJ,WAYNE RICH LIMITED,DC,13832000.0,GOJ Funding
1127,2011-11-02,National Solid Waste Management Authority (NSWMA),GOJ,GENERAL MAINTENANCE & CONSTRUCTION SERVICES LIMITED,DC,14560000.0,GOJ Funding
1128,2011-11-02,National Solid Waste Management Authority (NSWMA),GOJ,SAMSON EQUIPMENT AND HAULAGE,DC,6320000.0,GOJ Funding
1129,2011-11-02,National Solid Waste Management Authority (NSWMA),GOJ,GENERAL MAINTENANCE & CONSTRUCTION SERVICES LIMITED,DC,9672000.0,GOJ Funding
1130,2011-11-02,Petrojam Limited,GOJ,VTR ENGINEERING SERVICES LTD.,DC,8349530.12,GOJ Funding
1131,2011-11-02,Ministry of Education,WB,PLANSON INTERNATIONAL CORPORATION,ST,19100654.4,Non-GOJ Funding
1132,2011-11-02,Ministry of Education,WB,ILLUMINAT (JAMAICA) LIMITED,ST,3865038.99,Non-GOJ Funding
1133,2011-10-26,National Irrigation Commission Ltd.,IADB,JAMAICA DRIP IRRIGATION LIMITED,ST,39086892.92,Non-GOJ Funding
1134,2011-10-26,Jamaica Civil Aviation Authority,GOJ,MARATHON INSURANCE BROKERS LIMITED,ST,11897137.0,GOJ Funding
1135,2011-10-26,National Works Agency,IADB,MACHINERY AND SERVICE LIMITED,ST,10433250.0,Non-GOJ Funding
1136,2011-10-26,National Works Agency,IADB,SURREY PAVING & AGGREGATE CO. LTD,ST,118770536.5,Non-GOJ Funding
1137,2011-10-26,Jamaica Constabulary Force,GOJ,STEWART'S AUTO SALES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,145002656.7,GOJ Funding
1138,2011-10-26,Jamaica Constabulary Force,GOJ,VEHICLES & SUPPLIES (INDUSTRIAL DIVISION) LIMITED,SURREY PAVING & AGGREGATE CO. LTD,17166991.0,GOJ Funding
1139,2011-10-26,Jamaica Constabulary Force,GOJ,ATL AUTOHAUS,SURREY PAVING & AGGREGATE CO. LTD,87360524.0,GOJ Funding
1140,2011-10-26,South East Regional Health Authority,GOJ,AREL LIMITED,DC,9953523.65,GOJ Funding
1141,2011-10-26,Jamaica Fire Brigade,GOJ,SEIVWRIGHT BUILDING CONSTRUCTION SUPPLIES LIMITED,ST,12000205.76,GOJ Funding
1142,2011-10-26,Ministry of Health,IBRD,CARI-MED LIMITED,ST,12312000.0,Non-GOJ Funding
1143,2011-10-26,Post and Telecommunications Department,PTD,SIBRON COMPANY LIMITED,ST,14210687.04,Non-GOJ Funding
1144,2011-10-26,Post and Telecommunications Department,PTD,SIBRON COMPANY LIMITED,ST,16144128.0,Non-GOJ Funding
1145,2011-10-26,Post and Telecommunications Department,PTD,KIWIJAH TRANSPORTATION LIMITED,ST,15840000.0,Non-GOJ Funding
1146,2011-10-26,Post and Telecommunications Department,PTD,HUGH SHIRLEY,ST,11301143.04,Non-GOJ Funding
1147,2011-10-26,Post and Telecommunications Department,PTD,KARLEEN STEPHENS,ST,11172480.0,Non-GOJ Funding
1148,2011-10-26,Post and Telecommunications Department,PTD,KARLEEN STEPHENS,ST,10359360.0,Non-GOJ Funding
1149,2011-10-26,Post and Telecommunications Department,PTD,AUDREY THOMPSON,ST,10109447.04,Non-GOJ Funding
1150,2011-10-26,"Culture, Health, Arts, Sports and Education (C.H.A.S.E.)",CHASE,MILLER'S ELECTRIC AND CONSTRUCTION COMPANY LIMITED,ST,37085120.0,Non-GOJ Funding
1151,2011-10-19,Port Authority of Jamaica,PAJ,MICHELIN PANAMA CORP.,DC,12799296.0,Non-GOJ Funding
1152,2011-10-19,National Water Commission,NWC,INDUSTRIAL CHEMICAL COMPANY LIMITED,DC,12288000.0,Non-GOJ Funding
1153,2011-10-19,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,ALLIED PROTECTION LIMITED,DC,4286931.0,Non-GOJ Funding
1154,2011-10-19,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,RANGER PROTECTION & SECURITY COMPANY LIMITED,DC,6642992.98,Non-GOJ Funding
1155,2011-10-19,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,ATLAS PROTECTION LIMITED,DC,3918488.0,Non-GOJ Funding
1156,2011-10-19,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,SENTRY SERVICES SECURITY COMPANY LIMITED,DC,5135090.4,Non-GOJ Funding
1157,2011-10-19,Port Authority of Jamaica,PAJ,ATLAS PROTECTION LIMITED,ST,49180190.19,Non-GOJ Funding
1158,2011-10-19,National Works Agency,IADB,NATIONAL SOLID WASTE MANAGEMENT AUTHORITY,DC,340000000.0,Non-GOJ Funding
1159,2011-10-19,Jamaica Fire Brigade,GOJ,MADGE SAUNDERS CONFERENCE CENTRE,DC,25596000.0,GOJ Funding
1160,2011-10-19,Urban Development Corporation (UDC),UDC,SYNCON TECHNOLOGIES LIMITED,ST,10427013.81,Non-GOJ Funding
1161,2011-10-19,Ministry of Education,IADB,INDUSTRIAL & TECHNICAL SUPPLIES (JA.) LIMITED,ST,22819363.49,Non-GOJ Funding
1162,2011-10-19,Ministry of Education,IADB,COLDAX MART LIMITED,ST,14510392.0,Non-GOJ Funding
1163,2011-10-12,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,GARBAGE DISPOSAL AND SANITATION SERVICES LIMITED,DC,1192328.35,Non-GOJ Funding
1164,2011-10-12,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,HI-TECH CHEMICALS LIMITED,DC,6522455.22,Non-GOJ Funding
1165,2011-10-12,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,OH & S,DC,3532446.98,Non-GOJ Funding
1166,2011-10-12,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,RENTOKIL INITIAL JAMAICA LIMITED,DC,1106067.88,Non-GOJ Funding
1167,2011-10-12,"University of Technology, Jamaica",GOJ,H.D.B. CONSTRUCTION LIMITED,ST,175362771.4,GOJ Funding
1168,2011-10-12,"University of Technology, Jamaica",CHASE,TAYLOR ARCHITECTS,DC,14300000.0,Non-GOJ Funding
1169,2011-10-12,Ministry of Education,GOJ,ALFRASURE STRUCTURES AND ROOFING LIMITED,LT,40978448.79,GOJ Funding
1170,2011-10-12,Ministry of Labour and Social Security,IBRD,ATOS CONSULTING,OT,31326739.2,Non-GOJ Funding
1171,2011-10-05,Bank of Jamaica,BOJ,HONEYWELL BUILDING SOLUTIONS,DC,3945917.0,Non-GOJ Funding
1172,2011-10-05,Ministry of Education,GOJ,ROGERS LAND DEVELOPMENT LTD.,ST,26790071.0,GOJ Funding
1173,2011-09-28,Jamaica Fire Brigade,GOJ,BELL COMMUNICATIONS LIMITED,DC,22535493.75,GOJ Funding
1174,2011-09-28,Jamaica Fire Brigade,GOJ,GUACHA,DC,5504000.0,GOJ Funding
1175,2011-09-28,Montego Bay Free Zone Co. Ltd.,MBFZ,JARIC'S INTERNATIONAL COMPANY LIMITED,ST,15515640.0,Non-GOJ Funding
1176,2011-09-28,Western Regional Health Authority,GOJ,INTERNATIONAL MED-X LLC,SURREY PAVING & AGGREGATE CO. LTD,13753685.0,GOJ Funding
1177,2011-09-28,"Passport, Immigration & Citizenship Agency (PICA)",GOJ,SITA,DC,14824661.6,GOJ Funding
1178,2011-09-28,National Solid Waste Management Authority (NSWMA),GOJ,ALLIED INSURANCE BROKERS LIMITED,ST,14765028.0,GOJ Funding
1179,2011-09-28,Petrojam Limited,PCJ,TARSCO,OT,101706258.6,Non-GOJ Funding
1180,2011-09-28,Ministry of Finance and the Public Service,GOJ,MANAGEMENT CONTROL SYSTEMS LIMITED,ST,14551900.04,GOJ Funding
1181,2011-09-28,Urban Development Corporation (UDC),UDC,MEDIANET LIMITED,ST,27110839.2,Non-GOJ Funding
1182,2011-09-28,Urban Development Corporation (UDC),UDC,GUARDSMAN LIMITED,ST,203501837.3,Non-GOJ Funding
1183,2011-09-28,Urban Development Corporation (UDC),UDC,ALLIED PROTECTION LIMITED,DC,22764445.33,Non-GOJ Funding
1184,2011-09-28,Transport Authority,GOJ,SITEWATCH ELECTRONIC SECURITY LIMITED,ST,15374844.58,GOJ Funding
1185,2011-09-21,Petrojam Limited,PCJ,TRAEGER BROTHERS & ASSOCIATES INC.,ST,21367878.51,Non-GOJ Funding
1186,2011-09-21,Jamaica Social Investment Fund,CDB/BNTF,SHARE CON LIMITED,ST,38968960.0,Non-GOJ Funding
1187,2011-09-21,Jamaica Social Investment Fund,CDB/BNTF,RICAM CONSTRUCTION,ST,18846579.6,Non-GOJ Funding
1188,2011-09-21,Jamaica Social Investment Fund,CDB/CIP/ GOJ,RICAM CONSTRUCTION,ST,19362669.0,Non-GOJ Funding
1189,2011-09-21,National Land Agency,GOJ,AREL LTD.,SURREY PAVING & AGGREGATE CO. LTD,10775143.3,GOJ Funding
1190,2011-09-21,National Housing Trust,NHT,M.L.O SERVICES LIMITED,ST,11518440.0,Non-GOJ Funding
1191,2011-09-14,Office of the Cabinet,GOJ,UWI CONSULTING,DC,7800000.0,GOJ Funding
1192,2011-09-14,Ministry of Finance and the Public Service,GOJ,BLOOMFIELD JAMAICA LIMITED,ST,52067560.0,GOJ Funding
1193,2011-09-14,Southern Regional Health Authority,GOJ,JAC DEN ENTERPRISE COMPANY LIMITED,ST,125491212.0,GOJ Funding
1194,2011-09-14,Petrojam Limited,PCJ,CHAMPION INDUSTRIAL EQUIPMENT & SUPPLIES LIMITED,DC,11985970.0,Non-GOJ Funding
1195,2011-09-14,Ministry of Health and Environment,GOJ,DJ THOMAS AND SONS LIMITED,DC,4524000.0,GOJ Funding
1196,2011-09-14,National Land Agency,GOJ,AREL LIMITED,SURREY PAVING & AGGREGATE CO. LTD,15933360.0,GOJ Funding
1197,2011-09-14,National Water Commission,NWC,INDUSTRIAL AND MUNICIPAL SUPPLIES INC.,LT,12494037.16,Non-GOJ Funding
1198,2011-09-14,University Hospital of the West Indies,GOJ,MARKSMAN LIMITED,ST,250582125.0,GOJ Funding
1199,2011-09-14,University Hospital of the West Indies,GOJ,MILESTONE ENVIRONMENTAL LIMITED,ST,10081749.36,GOJ Funding
1200,2011-09-14,National Water Commission,NWC,INDUSTRIAL AND MUNICIPAL SUPPLIES INC.,LT,26216662.11,Non-GOJ Funding
1201,2011-09-14,Petrojam Limited,PCJ,UC RUSAL ALUMINA JAMAICA LIMITED,DC,19429197.87,Non-GOJ Funding
1202,2011-09-14,Petrojam Limited,PCJ,LAB SYNERGY LIMITED,DC,6188492.0,Non-GOJ Funding
1203,2011-09-14,Bank of Jamaica,BOJ,DELL WORLD TRADE L.P.,DC,19500000.0,Non-GOJ Funding
1204,2011-09-14,Jamaica Social Investment Fund,CDB/CIP/GOJ,PATRICK E. THOMPSON,ST,22394730.0,Non-GOJ Funding
1205,2011-09-14,Western Regional Health Authority,GOJ,MILESTONE ENVIRONMENTAL LIMITED,ST,291982199.9,GOJ Funding
1206,2011-09-14,Ministry of Water and Housing,GOJ,MILLER'S ELECTRIC AND CONSTRUCTION COMPANY LIMITED,DC,3400000.0,GOJ Funding
1207,2011-09-14,Norman Manley International Airport,NIMA,SAFETY AND FIRE SYSTEMS,ST,21494233.99,Non-GOJ Funding
1208,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,FAY DAWKINS,ST,44039105.0,Non-GOJ Funding
1209,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,FAY DAWKINS,ST,100956824.5,Non-GOJ Funding
1210,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,MILLICENT DRUMMOND,ST,38610652.93,Non-GOJ Funding
1211,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,WEDDERBEES,ST,35392388.5,Non-GOJ Funding
1212,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,B & E CATERERS,ST,78381540.0,Non-GOJ Funding
1213,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,GOLDEN AGE HOME,ST,26038863.17,Non-GOJ Funding
1214,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,WEDDERBEES,ST,120884121.3,Non-GOJ Funding
1215,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,B & E CATERERS,ST,179694598.0,Non-GOJ Funding
1216,2011-09-07,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,CATALENA WYNTER T/AS CATALENA WYNTER,ST,42038585.4,Non-GOJ Funding
1217,2011-09-07,Ministry of Water and Housing,GOJ,FREDERICK RODRIQUES & ASSOCIATES LTD.,ST,25938214.5,GOJ Funding
1218,2011-09-07,Petrojam Limited,PCJ,INDUSTRIAL GASES LIMITED,DC,11328323.11,Non-GOJ Funding
1219,2011-09-07,Petrojam Limited,PCJ,POWERGEN LIMITED,ST,19685633.93,Non-GOJ Funding
1220,2011-09-07,Office of the Cabinet,GOJ,H.D.B. CONSTRUCTION LIMITED,SURREY PAVING & AGGREGATE CO. LTD,10104475.0,GOJ Funding
1221,2011-09-07,Office of the Cabinet,GOJ,H.D.B. CONSTRUCTION LIMITED,SURREY PAVING & AGGREGATE CO. LTD,15105648.62,GOJ Funding
1222,2011-09-07,Jamaica Social Investment Fund,CDB/CIP/GOJ,GM & ASSOCIATES,ST,27943427.0,Non-GOJ Funding
1223,2011-09-07,Jamaica Social Investment Fund,CDB/CIP/GOJ,GM & ASSOCIATES,ST,28233662.26,Non-GOJ Funding
1224,2011-08-31,Port Authority of Jamaica,PAJ,PORTS SECURITY CORPS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,42521256.76,Non-GOJ Funding
1225,2011-08-31,Jamaica Social Investment Fund,IBRD,CONTRAXX ENTERPRISE LIMITED,ST,19932200.0,Non-GOJ Funding
1226,2011-08-31,"Ministry of Youth, Sports and Culture",IADB,ROGERS LAND DEVELOPMENT LTD.,ST,56926199.15,Non-GOJ Funding
1227,2011-08-24,"Ministry of Youth, Sports and Culture",IADB,ROGERS LAND DEVELOPMENT LTD.,ST,70081165.0,Non-GOJ Funding
1228,2011-08-24,Jamaica Social Investment Fund,CDB/CIP/GOJ,CONTRAXX ENTERPRISE LIMITED,ST,28489500.0,Non-GOJ Funding
1229,2011-08-24,Jamaica Social Investment Fund,CDB/CIP/GOJ,CONTRAXX ENTERPRISE LIMITED,ST,11990000.0,Non-GOJ Funding
1230,2011-08-24,National Environment and Planning Agency (NEPA),GOJ,CL ENVIRONMENT COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,8767231.48,GOJ Funding
1231,2011-08-24,University Hospital of the West Indies,GOJ,A.A. LAQUIS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,15269415.69,GOJ Funding
1232,2011-08-17,Ministry of Health and Environment,GLOBAL FUND,ROCHE DIAGNOSTICS,DC,41580014.7,Non-GOJ Funding
1233,2011-08-17,Ministry of National Security,GOJ,GOMEX TECHNOLOGIES,DC,6026498.04,GOJ Funding
1234,2011-08-17,Norman Manley International Airport,NMIA,BESAM ENTRANCE SOLUTIONS,DC,6024313.13,Non-GOJ Funding
1235,2011-08-17,Bank of Jamaica,GOJ,M.L.O SERVICES LIMITED,ST,13100130.0,GOJ Funding
1236,2011-08-17,National Works Agency,IADB,SURREY PAVING & AGGREGATE CO. LTD,OT,91842447.63,Non-GOJ Funding
1237,2011-08-17,National Works Agency,IADB,REBAR CONSTRUCTION LTD.,ST,23162700.0,Non-GOJ Funding
1238,2011-08-17,Petrojam Limited,PCJ,D&D WELDING AND EQUIPMENT HIREAGE,OT,131101013.1,Non-GOJ Funding
1239,2011-08-17,Port Authority of Jamaica,PAJ,SMADA CONSULTANTS LIMITED,DC,29404441.5,Non-GOJ Funding
1240,2011-08-17,National Water Commission,NWC,FLUID SYSTEMS ENGINEERING LIMITED,SURREY PAVING & AGGREGATE CO. LTD,1054856.25,Non-GOJ Funding
1241,2011-08-17,National Water Commission,NWC,SCHROETER & ASSOCIATES,SURREY PAVING & AGGREGATE CO. LTD,269075.0,Non-GOJ Funding
1242,2011-08-17,National Water Commission,NWC,XYZ CONSTRUCTION LIMITED,SURREY PAVING & AGGREGATE CO. LTD,27457910.0,Non-GOJ Funding
1243,2011-08-17,National Water Commission,NWC,NATIONAL WORKS AGENCY,SURREY PAVING & AGGREGATE CO. LTD,4868251.65,Non-GOJ Funding
1244,2011-08-17,National Water Commission,NWC,CHRIS EQUIPMENT RENTAL,SURREY PAVING & AGGREGATE CO. LTD,60000.0,Non-GOJ Funding
1245,2011-08-17,National Water Commission,NWC,CHAMPION CUSTOMS BROKERS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,426525.0,Non-GOJ Funding
1246,2011-08-17,National Water Commission,NWC,WAYMAH,SURREY PAVING & AGGREGATE CO. LTD,367775.0,Non-GOJ Funding
1247,2011-08-17,National Water Commission,NWC,JAMAICA CONCRETE PIPES LTD.,SURREY PAVING & AGGREGATE CO. LTD,462731.45,Non-GOJ Funding
1248,2011-08-17,National Water Commission,NHT,LINDO HAULAGE & WRECKING SERVICES,SURREY PAVING & AGGREGATE CO. LTD,144000.0,Non-GOJ Funding
1249,2011-08-17,National Housing Trust,NHT,ASHTROM BUILDING SYSTEMS LTD.,LT,160000000.0,Non-GOJ Funding
1250,2011-08-10,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,SENTRY SERVICES SECURITY COMPANY LIMITED,ST,94138128.0,Non-GOJ Funding
1251,2011-08-10,Bank of Jamaica,GOJ,MARATHON INSURANCE BROKERS LIMITED,ST,45095550.0,GOJ Funding
1252,2011-08-10,Tax Administration Jamaica,GOJ,DE LA RUE IDENTIFY SYSTEM,DC,29500000.0,GOJ Funding
1253,2011-08-03,National Irrigation Commission Ltd.,GOJ,JAMAICA DRIP IRRIGATION LIMITED,OT,51274897.81,GOJ Funding
1254,2011-08-03,Ministry of Education,IADB,"ABU CONSULT, BERLIN GMBH",OT,12557685.0,Non-GOJ Funding
1255,2011-08-03,Ministry of Health and Environment,GLOBAL FUND,BECTON DICKINSON & COMPANY,SS,14414728.55,Non-GOJ Funding
1256,2011-08-03,"University of Technology, Jamaica",GOJ,C.P. SPECIALISTS LIMITED,ST,17888385.0,GOJ Funding
1257,2011-08-03,"University of Technology, Jamaica",CDB/GOJ,H.D.B. CONSTRUCTION LIMITED,OT,450990000.0,Non-GOJ Funding
1258,2011-08-03,National Water Commission,IADB,MANAGEMENT CONTROL SYSTEMS LTD,ST,16031061.46,Non-GOJ Funding
1259,2011-08-03,National Housing Trust,NHT,HOOD-DANIEL WELL COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,29262945.0,Non-GOJ Funding
1260,2011-08-03,National Housing Trust,NHT,DERYCK A. GIBSON LIMITED,SURREY PAVING & AGGREGATE CO. LTD,124069299.2,Non-GOJ Funding
1261,2011-08-03,Ministry of Health and Environment,GOJ,AGRICULTURAL CHEMICALS PLANT/LASCELLES LTD,DC,3217500.0,GOJ Funding
1262,2011-08-03,Jamaica Vacations Limited,GOJ,SOLTOUR,SURREY PAVING & AGGREGATE CO. LTD,10332000.0,GOJ Funding
1263,2011-07-27,Petrojam Limited,PCJ,D&D WELDING AND EQUIPMENT HIREAGE,ST,26437225.0,Non-GOJ Funding
1264,2011-07-27,Petrojam Limited,PCJ,IBI-MAAK CARIBBEAN LIMITED,ST,198531000.0,Non-GOJ Funding
1265,2011-07-27,Ministry of Education,GOJ,MILESTONE ENVIRONMENTAL LIMITED,ST,5135416.43,GOJ Funding
1266,2011-07-27,"Culture, Health, Arts, Sports and Education (C.H.A.S.E.)",CHASE,RICAM CONSTRUCTION COMPANY,ST,18736170.8,Non-GOJ Funding
1267,2011-07-27,Ministry of Education,IADB,CENTRE FOR LEADERSHIP AND GOVERNANCE -UNIVERSITY OF THE WEST INDIES,LT,11198000.0,Non-GOJ Funding
1268,2011-07-27,Urban Development Corporation (UDC),UDC,CGM GALLAGHER INSURANCE BROKERS JAMAICA LIMITED,ST,13048075.0,Non-GOJ Funding
1269,2011-07-27,National Water Commission,GOJ,ASHTROM BUILDING SYSTEMS LTD.,OT,1274056071.0,GOJ Funding
1270,2011-07-20,National Irrigation Commission Ltd.,IADB,JAMAICA DRIP IRRIGATION LIMITED,ST,48723385.0,Non-GOJ Funding
1271,2011-07-20,National Irrigation Commission Ltd.,IADB,JAMAICA DRIP IRRIGATION LIMITED,ST,54657800.0,Non-GOJ Funding
1272,2011-07-20,National Irrigation Commission Ltd.,IADB,JAMAICA DRIP IRRIGATION LIMITED,ST,48216881.0,Non-GOJ Funding
1273,2011-07-20,National Irrigation Commission Ltd.,IADB,BACCHUS ENGINEERING WORKS LIMITED,ST,47062158.93,Non-GOJ Funding
1274,2011-07-20,E-Learning Company,UAF,DELL WORLD TRADE CORPORATION,OT,225967294.5,Non-GOJ Funding
1275,2011-07-20,Petrojam Limited,PCJ,QUALITY PLUS CONTRACTING COMPANY LIMITED,ST,28599585.0,Non-GOJ Funding
1276,2011-07-20,Petrojam Limited,PCJ,CBI JAMAICA LIMITED,OT,127622202.6,Non-GOJ Funding
1277,2011-07-20,Ministry of Education,IADB,BUILD RITE CONSTRUCTION CO.LTD.,ST,547399000.0,Non-GOJ Funding
1278,2011-07-20,National Housing Trust,NHT,JENTECH CONSULTANTS LTD,ST,18908511.02,Non-GOJ Funding
1279,2011-07-20,Ministry of Education,GOJ,BAJAD LIMITED,ST,14935384.0,GOJ Funding
1280,2011-07-20,National Works Agency,IADB,GENERAL PAVING COMPANY LTD.,ST,212434640.0,Non-GOJ Funding
1281,2011-07-20,National Water Commission,NWC,H.D.B CONSTRUCTION LTD,OT,14725509.58,Non-GOJ Funding
1282,2011-07-13,Ministry of Education,GOJ,PALM ROSE COMMODITY LIMITED,ST,97084500.0,GOJ Funding
1283,2011-07-13,Ministry of Education,GOJ,T. GEDDES GRANT (DISTRIBUTORS) LTD.,ST,26400000.0,GOJ Funding
1284,2011-07-13,Ministry of Education,GOJ,PALM ROSE COMMODITY LIMITED,ST,11485680.0,GOJ Funding
1285,2011-07-13,Ministry of Education,GOJ,INDUSTRIAL SALES LIMITED/SEPROD,ST,21600000.0,GOJ Funding
1286,2011-07-13,Ministry of Education,GOJ,T. GEDDES GRANT (DISTRIBUTORS) LIMITED,ST,12200000.0,GOJ Funding
1287,2011-07-13,Ministry of Education,GOJ,INDUSTRIAL SALES LIMITED/SEPROD,ST,30450000.0,GOJ Funding
1288,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,MILLICENT DRUMMOND,ST,22004865.0,Non-GOJ Funding
1289,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,CHARMAINE DUNCAN,ST,44392218.0,Non-GOJ Funding
1290,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,WEDDERBEES,ST,44948667.14,Non-GOJ Funding
1291,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,B & E CATERERS,ST,17236400.0,Non-GOJ Funding
1292,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,SOUTHCO LIMITED,ST,32988860.0,Non-GOJ Funding
1293,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,ALDA MARSH,ST,44833288.65,Non-GOJ Funding
1294,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,GOLDEN AGE HOME,ST,35332550.87,Non-GOJ Funding
1295,2011-07-13,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,FAY DAWKINS,ST,24876225.0,Non-GOJ Funding
1296,2011-07-13,Ministry of Education,CDB/GOJ,HEART TRUST/NTA,SS,19200000.0,Non-GOJ Funding
1297,2011-07-13,Petrojam Limited,PCJ,J.H. DUNSTAN ASSOCIATES LIMITED,LT,245394419.6,Non-GOJ Funding
1298,2011-07-13,Petrojam Limited,PCJ,CHIN'S CONSTRUCTION LTD.,ST,19833780.0,Non-GOJ Funding
1299,2011-07-13,National Export-Import Bank of Jamaica Limited,EXIM,RANGER PROCTECTION AND SECURITY,ST,10915459.0,Non-GOJ Funding
1300,2011-07-13,Office of the Cabinet,GOJ,Featherwood Capital,,17942868.0,GOJ Funding
1301,2011-07-13,Jamaica Social Investment Fund,IBRD/GOJ,ARTOG CONSTRUCTION COMPANY LIMITED,ST,17006550.0,Non-GOJ Funding
1302,2011-07-13,Jamaica Social Investment Fund,IBRD/GOJ,RICAM CONSTRUCTION LIMITED,ST,21574520.0,Non-GOJ Funding
